"Cluster" "Outcome.Grp" "Outcome" "Trt.Grp" "Count" "Exposure"
"180.0-360.0" "Bdy-sys_14" "Adv-Ev_144" 4 92 147802.73544155
"360.0-540.0" "Bdy-sys_14" "Adv-Ev_136" 4 61 118245.65610275
"360.0-540.0" "Bdy-sys_2" "Adv-Ev_12" 2 57 120626.235937357
"540.0-720.0" "Bdy-sys_7" "Adv-Ev_55" 2 41 76142.4371567582
"720.0-900.0" "Bdy-sys_15" "Adv-Ev_150" 2 19 42246.5905401919
"180.0-360.0" "Bdy-sys_1" "Adv-Ev_7" 4 97 149789.953301623
"180.0-360.0" "Bdy-sys_5" "Adv-Ev_36" 4 74 149324.311563418
"900.0-1080.0" "Bdy-sys_3" "Adv-Ev_23" 2 8 11275.1951529896
"180.0-360.0" "Bdy-sys_13" "Adv-Ev_130" 2 90 146862.941084598
"0.0-180.0" "Bdy-sys_6" "Adv-Ev_51" 4 83 165553.951475413
"360.0-540.0" "Bdy-sys_8" "Adv-Ev_62" 2 70 119231.445276321
"180.0-360.0" "Bdy-sys_11" "Adv-Ev_98" 4 65 149583.153395823
"180.0-360.0" "Bdy-sys_6" "Adv-Ev_52" 1 70 143271.067651934
"0.0-180.0" "Bdy-sys_3" "Adv-Ev_20" 4 164 156909.253752537
"0.0-180.0" "Bdy-sys_9" "Adv-Ev_73" 2 106 163310.007105262
"180.0-360.0" "Bdy-sys_11" "Adv-Ev_95" 1 83 144358.387600505
"360.0-540.0" "Bdy-sys_1" "Adv-Ev_2" 4 82 120328.724635311
"540.0-720.0" "Bdy-sys_1" "Adv-Ev_6" 1 35 76602.1089381542
"0.0-180.0" "Bdy-sys_8" "Adv-Ev_66" 1 93 159422.467565953
"0.0-180.0" "Bdy-sys_8" "Adv-Ev_62" 2 81 167128.578145434
"720.0-900.0" "Bdy-sys_1" "Adv-Ev_9" 1 21 43884.2271487764
"720.0-900.0" "Bdy-sys_10" "Adv-Ev_87" 4 34 43810.0787326571
"540.0-720.0" "Bdy-sys_15" "Adv-Ev_148" 4 46 75677.0966457088
"180.0-360.0" "Bdy-sys_3" "Adv-Ev_23" 4 92 132916.287740841
"360.0-540.0" "Bdy-sys_4" "Adv-Ev_30" 4 76 115614.932443286
"540.0-720.0" "Bdy-sys_15" "Adv-Ev_151" 2 45 78911.2659484306
"540.0-720.0" "Bdy-sys_11" "Adv-Ev_101" 3 40 76317.1373344014
"720.0-900.0" "Bdy-sys_11" "Adv-Ev_99" 1 22 40667.6584137243
"540.0-720.0" "Bdy-sys_14" "Adv-Ev_144" 1 56 75614.5131257036
"900.0-1080.0" "Bdy-sys_12" "Adv-Ev_113" 3 16 14209.4749556797
"540.0-720.0" "Bdy-sys_8" "Adv-Ev_63" 2 38 71535.8560777195
"720.0-900.0" "Bdy-sys_7" "Adv-Ev_58" 1 21 42136.0243292582
"0.0-180.0" "Bdy-sys_3" "Adv-Ev_21" 3 198 156471.862030941
"720.0-900.0" "Bdy-sys_11" "Adv-Ev_96" 2 19 44166.4277251955
"540.0-720.0" "Bdy-sys_6" "Adv-Ev_50" 2 44 76285.1552791051
"540.0-720.0" "Bdy-sys_11" "Adv-Ev_103" 1 35 75055.4147153924
"540.0-720.0" "Bdy-sys_12" "Adv-Ev_115" 2 37 76694.0384866437
"180.0-360.0" "Bdy-sys_2" "Adv-Ev_11" 1 68 144642.127195471
"180.0-360.0" "Bdy-sys_6" "Adv-Ev_52" 3 103 146545.395673284
"900.0-1080.0" "Bdy-sys_14" "Adv-Ev_141" 1 6 12544.6710597455
"540.0-720.0" "Bdy-sys_6" "Adv-Ev_48" 3 70 75670.307475745
"720.0-900.0" "Bdy-sys_2" "Adv-Ev_15" 2 20 43676.5918059246
"720.0-900.0" "Bdy-sys_7" "Adv-Ev_55" 3 41 41390.2326729923
"360.0-540.0" "Bdy-sys_8" "Adv-Ev_61" 2 61 119078.708822868
"720.0-900.0" "Bdy-sys_9" "Adv-Ev_72" 1 24 44126.6099222407
"180.0-360.0" "Bdy-sys_9" "Adv-Ev_75" 4 78 152202.235973621
"720.0-900.0" "Bdy-sys_1" "Adv-Ev_8" 1 29 44415.9336317194
"180.0-360.0" "Bdy-sys_15" "Adv-Ev_153" 3 87 149061.172349982
"720.0-900.0" "Bdy-sys_1" "Adv-Ev_5" 1 23 41694.7577979591
"900.0-1080.0" "Bdy-sys_9" "Adv-Ev_73" 4 5 12774.9071776841
"360.0-540.0" "Bdy-sys_3" "Adv-Ev_23" 4 73 102030.847437162
"180.0-360.0" "Bdy-sys_14" "Adv-Ev_142" 4 69 151404.612541283
"180.0-360.0" "Bdy-sys_3" "Adv-Ev_24" 4 119 128498.575606797
"0.0-180.0" "Bdy-sys_5" "Adv-Ev_36" 1 100 158414.236435368
"0.0-180.0" "Bdy-sys_12" "Adv-Ev_110" 2 107 163286.432134211
"720.0-900.0" "Bdy-sys_14" "Adv-Ev_139" 2 27 43802.0657963378
"360.0-540.0" "Bdy-sys_6" "Adv-Ev_52" 2 72 115084.005770803
"540.0-720.0" "Bdy-sys_1" "Adv-Ev_2" 2 37 78305.518594294
"900.0-1080.0" "Bdy-sys_14" "Adv-Ev_138" 3 18 12579.451010535
"180.0-360.0" "Bdy-sys_9" "Adv-Ev_67" 3 91 152209.343825167
"360.0-540.0" "Bdy-sys_14" "Adv-Ev_141" 1 65 115219.046422354
"0.0-180.0" "Bdy-sys_2" "Adv-Ev_18" 4 108 164160.483385275
"720.0-900.0" "Bdy-sys_2" "Adv-Ev_16" 1 29 40976.0616886151
"720.0-900.0" "Bdy-sys_7" "Adv-Ev_57" 2 20 43870.8842918413
"360.0-540.0" "Bdy-sys_11" "Adv-Ev_95" 1 66 113254.949254461
"540.0-720.0" "Bdy-sys_13" "Adv-Ev_127" 4 45 77133.6587227155
"900.0-1080.0" "Bdy-sys_14" "Adv-Ev_135" 3 19 11405.8372867771
"900.0-1080.0" "Bdy-sys_11" "Adv-Ev_92" 4 7 12452.6766355253
"180.0-360.0" "Bdy-sys_5" "Adv-Ev_38" 1 77 143365.618308444
"540.0-720.0" "Bdy-sys_10" "Adv-Ev_78" 1 46 75888.7458181983
"180.0-360.0" "Bdy-sys_14" "Adv-Ev_139" 1 78 140556.911631179
"360.0-540.0" "Bdy-sys_3" "Adv-Ev_20" 4 53 106597.992973125
"0.0-180.0" "Bdy-sys_15" "Adv-Ev_149" 4 90 165532.292871896
"360.0-540.0" "Bdy-sys_7" "Adv-Ev_57" 4 64 118824.443767842
"360.0-540.0" "Bdy-sys_4" "Adv-Ev_32" 3 68 118030.656624752
"360.0-540.0" "Bdy-sys_11" "Adv-Ev_96" 1 53 114460.653324537
"180.0-360.0" "Bdy-sys_1" "Adv-Ev_3" 4 81 148562.025258057
"540.0-720.0" "Bdy-sys_11" "Adv-Ev_102" 4 46 75213.8074189965
"0.0-180.0" "Bdy-sys_6" "Adv-Ev_50" 1 94 159496.747183828
"540.0-720.0" "Bdy-sys_1" "Adv-Ev_10" 2 46 76452.832470227
"180.0-360.0" "Bdy-sys_9" "Adv-Ev_69" 4 90 146921.276672505
"720.0-900.0" "Bdy-sys_7" "Adv-Ev_55" 1 19 40712.1449579559
"360.0-540.0" "Bdy-sys_12" "Adv-Ev_112" 4 64 118725.811757592
"180.0-360.0" "Bdy-sys_2" "Adv-Ev_12" 1 84 142080.986839894
"540.0-720.0" "Bdy-sys_6" "Adv-Ev_47" 1 41 76191.9649508559
"180.0-360.0" "Bdy-sys_10" "Adv-Ev_81" 1 88 145171.328359521
"540.0-720.0" "Bdy-sys_13" "Adv-Ev_121" 3 53 78734.1731289773
"900.0-1080.0" "Bdy-sys_10" "Adv-Ev_88" 1 3 12231.0917047755
"0.0-180.0" "Bdy-sys_11" "Adv-Ev_98" 1 90 159510.981994889
"720.0-900.0" "Bdy-sys_15" "Adv-Ev_150" 1 29 38950.5285693629
"900.0-1080.0" "Bdy-sys_4" "Adv-Ev_33" 1 8 14167.9310881859
"540.0-720.0" "Bdy-sys_6" "Adv-Ev_51" 1 28 74467.3024371784
"900.0-1080.0" "Bdy-sys_15" "Adv-Ev_153" 2 7 12500.6857368357
"900.0-1080.0" "Bdy-sys_5" "Adv-Ev_34" 2 9 11666.9429121352
"720.0-900.0" "Bdy-sys_3" "Adv-Ev_21" 4 23 36140.0959424097
"900.0-1080.0" "Bdy-sys_14" "Adv-Ev_139" 2 7 13556.3558869994
"540.0-720.0" "Bdy-sys_13" "Adv-Ev_122" 2 51 80078.2318431539
"180.0-360.0" "Bdy-sys_6" "Adv-Ev_43" 3 95 146845.184567059
"900.0-1080.0" "Bdy-sys_11" "Adv-Ev_90" 1 6 12290.8585406468
"360.0-540.0" "Bdy-sys_14" "Adv-Ev_142" 4 68 121083.002886257
"360.0-540.0" "Bdy-sys_14" "Adv-Ev_135" 2 52 116052.483314482
"540.0-720.0" "Bdy-sys_3" "Adv-Ev_20" 4 34 69566.6946925689
"360.0-540.0" "Bdy-sys_8" "Adv-Ev_64" 3 75 119186.148953991
"540.0-720.0" "Bdy-sys_14" "Adv-Ev_145" 2 36 79997.5811781258
"0.0-180.0" "Bdy-sys_10" "Adv-Ev_87" 4 83 165912.806824515
"0.0-180.0" "Bdy-sys_2" "Adv-Ev_17" 2 98 164404.308658931
"900.0-1080.0" "Bdy-sys_3" "Adv-Ev_23" 1 6 12744.1268736955
"900.0-1080.0" "Bdy-sys_7" "Adv-Ev_57" 3 15 12641.1230089311
"0.0-180.0" "Bdy-sys_10" "Adv-Ev_76" 4 90 164850.44285045
"180.0-360.0" "Bdy-sys_12" "Adv-Ev_114" 3 78 154366.265497012
"900.0-1080.0" "Bdy-sys_6" "Adv-Ev_51" 1 8 11810.3265244484
"180.0-360.0" "Bdy-sys_12" "Adv-Ev_115" 2 77 150852.244082327
"0.0-180.0" "Bdy-sys_11" "Adv-Ev_103" 4 86 166248.332294856
"360.0-540.0" "Bdy-sys_11" "Adv-Ev_98" 3 71 121233.286310979
"720.0-900.0" "Bdy-sys_6" "Adv-Ev_50" 4 27 41911.4751673174
"360.0-540.0" "Bdy-sys_6" "Adv-Ev_43" 1 49 119593.640361039
"900.0-1080.0" "Bdy-sys_10" "Adv-Ev_88" 2 13 11898.1392026392
"540.0-720.0" "Bdy-sys_5" "Adv-Ev_39" 4 37 77448.4166334808
"0.0-180.0" "Bdy-sys_11" "Adv-Ev_97" 4 94 165179.097338436
"900.0-1080.0" "Bdy-sys_10" "Adv-Ev_84" 1 10 12361.2975567671
"0.0-180.0" "Bdy-sys_4" "Adv-Ev_30" 3 106 164452.583900139
"180.0-360.0" "Bdy-sys_13" "Adv-Ev_129" 3 105 150165.609954489
"900.0-1080.0" "Bdy-sys_5" "Adv-Ev_40" 4 7 12371.1634500661
"180.0-360.0" "Bdy-sys_3" "Adv-Ev_22" 4 110 133366.613187078
"0.0-180.0" "Bdy-sys_10" "Adv-Ev_84" 4 92 165004.496057087
"180.0-360.0" "Bdy-sys_13" "Adv-Ev_129" 1 78 145943.565335382
"0.0-180.0" "Bdy-sys_11" "Adv-Ev_95" 4 81 166136.368140038
"720.0-900.0" "Bdy-sys_9" "Adv-Ev_70" 1 24 42229.1150113464
"540.0-720.0" "Bdy-sys_13" "Adv-Ev_119" 2 44 76681.6332453586
"900.0-1080.0" "Bdy-sys_9" "Adv-Ev_68" 1 3 13024.4341718011
"180.0-360.0" "Bdy-sys_15" "Adv-Ev_150" 4 89 145685.264614242
"0.0-180.0" "Bdy-sys_14" "Adv-Ev_142" 4 87 164947.181934312
"900.0-1080.0" "Bdy-sys_14" "Adv-Ev_135" 1 9 13283.8165160989
"360.0-540.0" "Bdy-sys_13" "Adv-Ev_121" 3 70 117753.107614455
"900.0-1080.0" "Bdy-sys_11" "Adv-Ev_103" 2 5 13896.1715410962
"180.0-360.0" "Bdy-sys_8" "Adv-Ev_64" 2 87 148965.540126367
"900.0-1080.0" "Bdy-sys_11" "Adv-Ev_98" 2 4 13234.8321278668
"360.0-540.0" "Bdy-sys_11" "Adv-Ev_97" 1 55 115266.205487806
"900.0-1080.0" "Bdy-sys_11" "Adv-Ev_107" 2 4 12349.3521951874
"360.0-540.0" "Bdy-sys_11" "Adv-Ev_91" 2 66 120543.488548164
"0.0-180.0" "Bdy-sys_13" "Adv-Ev_128" 4 96 164748.555172659
"540.0-720.0" "Bdy-sys_11" "Adv-Ev_104" 2 41 74308.9900984464
"900.0-1080.0" "Bdy-sys_1" "Adv-Ev_1" 3 18 13513.7503845156
"360.0-540.0" "Bdy-sys_8" "Adv-Ev_66" 3 78 116577.076805542
"540.0-720.0" "Bdy-sys_6" "Adv-Ev_50" 1 45 75487.9234878234
"180.0-360.0" "Bdy-sys_14" "Adv-Ev_145" 2 82 151283.161863264
"540.0-720.0" "Bdy-sys_10" "Adv-Ev_83" 1 39 75967.5090977861
"180.0-360.0" "Bdy-sys_13" "Adv-Ev_119" 1 81 143997.505349891
"360.0-540.0" "Bdy-sys_2" "Adv-Ev_17" 1 57 117754.004832904
"180.0-360.0" "Bdy-sys_13" "Adv-Ev_120" 4 90 147900.730682363
"540.0-720.0" "Bdy-sys_12" "Adv-Ev_116" 4 42 79730.6563093278
"900.0-1080.0" "Bdy-sys_11" "Adv-Ev_99" 3 18 12834.1818241197
"360.0-540.0" "Bdy-sys_3" "Adv-Ev_24" 2 59 98391.0322573806
"0.0-180.0" "Bdy-sys_6" "Adv-Ev_47" 1 87 159498.13580681
"900.0-1080.0" "Bdy-sys_12" "Adv-Ev_111" 1 5 12557.1541739515
"900.0-1080.0" "Bdy-sys_7" "Adv-Ev_57" 4 5 12641.1230089311
"900.0-1080.0" "Bdy-sys_9" "Adv-Ev_70" 1 2 12565.0971006327
"540.0-720.0" "Bdy-sys_9" "Adv-Ev_75" 1 37 74131.3519426854
"360.0-540.0" "Bdy-sys_11" "Adv-Ev_102" 3 74 116813.088227898
"360.0-540.0" "Bdy-sys_11" "Adv-Ev_92" 2 61 117128.379113972
"360.0-540.0" "Bdy-sys_11" "Adv-Ev_98" 2 61 121233.286310979
"0.0-180.0" "Bdy-sys_9" "Adv-Ev_72" 4 83 166213.572642507
"720.0-900.0" "Bdy-sys_11" "Adv-Ev_91" 1 27 41030.6115182219
"0.0-180.0" "Bdy-sys_8" "Adv-Ev_64" 2 83 165768.110792781
"360.0-540.0" "Bdy-sys_15" "Adv-Ev_147" 3 82 115396.611736392
"0.0-180.0" "Bdy-sys_14" "Adv-Ev_140" 1 79 160200.802106294
"720.0-900.0" "Bdy-sys_10" "Adv-Ev_85" 1 21 43193.5221152691
"360.0-540.0" "Bdy-sys_9" "Adv-Ev_68" 4 49 118252.632873371
"180.0-360.0" "Bdy-sys_15" "Adv-Ev_152" 1 91 143217.519996233
"180.0-360.0" "Bdy-sys_14" "Adv-Ev_140" 1 82 145589.626615268
"540.0-720.0" "Bdy-sys_10" "Adv-Ev_80" 3 46 75786.4396426142
"540.0-720.0" "Bdy-sys_3" "Adv-Ev_22" 2 34 65735.5186208132
"900.0-1080.0" "Bdy-sys_4" "Adv-Ev_26" 3 21 13068.1001055058
"540.0-720.0" "Bdy-sys_11" "Adv-Ev_95" 4 45 78106.0374079434
"180.0-360.0" "Bdy-sys_8" "Adv-Ev_62" 4 83 151143.546066995
"360.0-540.0" "Bdy-sys_6" "Adv-Ev_49" 2 78 118234.481727277
"540.0-720.0" "Bdy-sys_10" "Adv-Ev_80" 1 46 77260.4439716654
"360.0-540.0" "Bdy-sys_13" "Adv-Ev_127" 4 65 117506.515935492
"0.0-180.0" "Bdy-sys_13" "Adv-Ev_129" 3 90 165957.220490045
"900.0-1080.0" "Bdy-sys_2" "Adv-Ev_16" 4 7 14174.1860361541
"720.0-900.0" "Bdy-sys_14" "Adv-Ev_146" 3 41 44515.559195826
"900.0-1080.0" "Bdy-sys_2" "Adv-Ev_18" 2 10 13021.886227934
"900.0-1080.0" "Bdy-sys_15" "Adv-Ev_151" 3 16 13850.4480130252
"0.0-180.0" "Bdy-sys_2" "Adv-Ev_11" 1 91 158516.351769085
"720.0-900.0" "Bdy-sys_10" "Adv-Ev_85" 3 32 43546.5406186373
"900.0-1080.0" "Bdy-sys_1" "Adv-Ev_2" 1 3 12749.0964575431
"720.0-900.0" "Bdy-sys_8" "Adv-Ev_61" 2 18 43584.6566089294
"900.0-1080.0" "Bdy-sys_4" "Adv-Ev_32" 1 7 12328.972557324
"360.0-540.0" "Bdy-sys_15" "Adv-Ev_152" 3 82 117969.530835248
"900.0-1080.0" "Bdy-sys_2" "Adv-Ev_16" 2 7 14174.1860361541
"720.0-900.0" "Bdy-sys_15" "Adv-Ev_147" 3 31 42616.0090212952
"0.0-180.0" "Bdy-sys_12" "Adv-Ev_110" 1 78 160293.240146936
"900.0-1080.0" "Bdy-sys_13" "Adv-Ev_120" 2 10 12154.9442287637
"720.0-900.0" "Bdy-sys_14" "Adv-Ev_135" 2 26 40807.5223592037
"720.0-900.0" "Bdy-sys_15" "Adv-Ev_151" 3 37 44429.5412442081
"180.0-360.0" "Bdy-sys_11" "Adv-Ev_100" 1 71 142987.041894405
"540.0-720.0" "Bdy-sys_14" "Adv-Ev_133" 3 53 75724.4910715947
"540.0-720.0" "Bdy-sys_12" "Adv-Ev_116" 2 42 79730.6563093278
"540.0-720.0" "Bdy-sys_7" "Adv-Ev_55" 3 51 76142.4371567582
"360.0-540.0" "Bdy-sys_1" "Adv-Ev_3" 3 74 117321.95655291
"720.0-900.0" "Bdy-sys_11" "Adv-Ev_106" 1 27 40337.2843419057
"900.0-1080.0" "Bdy-sys_11" "Adv-Ev_96" 2 9 13689.9387443188
"360.0-540.0" "Bdy-sys_11" "Adv-Ev_102" 2 64 116813.088227898
"900.0-1080.0" "Bdy-sys_1" "Adv-Ev_5" 1 8 12924.0608116515
"900.0-1080.0" "Bdy-sys_13" "Adv-Ev_120" 4 10 12154.9442287637
"900.0-1080.0" "Bdy-sys_14" "Adv-Ev_133" 4 6 13269.9907890983
"720.0-900.0" "Bdy-sys_9" "Adv-Ev_71" 1 24 40713.3816405509
"0.0-180.0" "Bdy-sys_10" "Adv-Ev_81" 1 80 160474.896888032
"900.0-1080.0" "Bdy-sys_6" "Adv-Ev_53" 1 11 12469.4280859878
"180.0-360.0" "Bdy-sys_12" "Adv-Ev_116" 3 84 149698.664086552
"540.0-720.0" "Bdy-sys_5" "Adv-Ev_34" 3 60 73712.6783244978
"900.0-1080.0" "Bdy-sys_6" "Adv-Ev_46" 4 7 13939.817155902
"180.0-360.0" "Bdy-sys_9" "Adv-Ev_68" 4 85 147008.16169872
"180.0-360.0" "Bdy-sys_14" "Adv-Ev_141" 2 69 148752.144919319
"540.0-720.0" "Bdy-sys_15" "Adv-Ev_153" 2 40 75657.5553139394
"540.0-720.0" "Bdy-sys_10" "Adv-Ev_81" 4 36 74674.6947235503
"0.0-180.0" "Bdy-sys_5" "Adv-Ev_40" 2 95 164669.519605706
"0.0-180.0" "Bdy-sys_2" "Adv-Ev_14" 1 85 159947.716770423
"180.0-360.0" "Bdy-sys_4" "Adv-Ev_31" 1 66 143606.185349542
"360.0-540.0" "Bdy-sys_2" "Adv-Ev_15" 2 67 114297.580181476
"900.0-1080.0" "Bdy-sys_14" "Adv-Ev_134" 4 6 13820.446135813
"540.0-720.0" "Bdy-sys_2" "Adv-Ev_18" 1 41 76973.5435396062
"0.0-180.0" "Bdy-sys_15" "Adv-Ev_148" 3 107 164669.746182598
"720.0-900.0" "Bdy-sys_10" "Adv-Ev_81" 4 21 44675.0501089078
"540.0-720.0" "Bdy-sys_4" "Adv-Ev_27" 4 39 77031.4049928852
"180.0-360.0" "Bdy-sys_2" "Adv-Ev_11" 2 82 149516.061931541
"360.0-540.0" "Bdy-sys_11" "Adv-Ev_94" 3 92 119406.576649181
"540.0-720.0" "Bdy-sys_14" "Adv-Ev_146" 3 55 80795.1045238112
"0.0-180.0" "Bdy-sys_8" "Adv-Ev_64" 4 83 165768.110792781
"180.0-360.0" "Bdy-sys_2" "Adv-Ev_13" 1 84 143761.868272352
"540.0-720.0" "Bdy-sys_9" "Adv-Ev_68" 3 37 79259.9878789454
"900.0-1080.0" "Bdy-sys_5" "Adv-Ev_35" 2 7 12846.9860571035
"180.0-360.0" "Bdy-sys_7" "Adv-Ev_54" 4 82 151736.639683021
"720.0-900.0" "Bdy-sys_1" "Adv-Ev_3" 2 31 44671.5537784429
"0.0-180.0" "Bdy-sys_3" "Adv-Ev_19" 4 178 156169.88977684
"0.0-180.0" "Bdy-sys_15" "Adv-Ev_155" 4 94 163750.925291792
"900.0-1080.0" "Bdy-sys_12" "Adv-Ev_109" 4 11 13344.7916531939
"720.0-900.0" "Bdy-sys_11" "Adv-Ev_98" 2 25 46074.5586610958
"900.0-1080.0" "Bdy-sys_14" "Adv-Ev_140" 4 8 12896.2983678653
"900.0-1080.0" "Bdy-sys_1" "Adv-Ev_3" 1 7 12353.604433706
"360.0-540.0" "Bdy-sys_15" "Adv-Ev_149" 2 61 116791.434283278
"720.0-900.0" "Bdy-sys_5" "Adv-Ev_36" 4 27 40389.6398033957
"180.0-360.0" "Bdy-sys_14" "Adv-Ev_139" 3 75 150651.713282661
"180.0-360.0" "Bdy-sys_12" "Adv-Ev_114" 2 68 154366.265497012
"720.0-900.0" "Bdy-sys_11" "Adv-Ev_98" 3 35 46074.5586610958
"0.0-180.0" "Bdy-sys_7" "Adv-Ev_56" 4 82 166269.434043804
"720.0-900.0" "Bdy-sys_11" "Adv-Ev_97" 3 29 42644.3765786578
"900.0-1080.0" "Bdy-sys_2" "Adv-Ev_17" 1 8 13189.804858522
"0.0-180.0" "Bdy-sys_9" "Adv-Ev_73" 3 116 163310.007105262
"0.0-180.0" "Bdy-sys_4" "Adv-Ev_29" 1 89 159308.684606166
"540.0-720.0" "Bdy-sys_5" "Adv-Ev_40" 2 49 76107.1242546126
"720.0-900.0" "Bdy-sys_5" "Adv-Ev_36" 2 27 40389.6398033957
"360.0-540.0" "Bdy-sys_6" "Adv-Ev_44" 4 60 119503.870779936
